BaseName	CharacterOrientation	Country	DisplayCountry	DisplayLanguage	DisplayLanguageWithDialect	DisplayName	DisplayNameWithDialect	DisplayScript	DisplayScriptInContext	DisplayVariant	ISO3Country	ISO3Language	Language	LineOrientation	Name	Script	Variant
dz_BT	left-to-right	BT	ブータン	ゾンカ語	dz_BT	ゾンカ語 (ブータン)	ゾンカ語 (ブータン)	-	-	-	BTN	dzo	dz	top-to-bottom	dz_BT	-	-
ebu	left-to-right	-	-	エンブ語	エンブ語	エンブ語	エンブ語	-	-	-	-	ebu	ebu	top-to-bottom	ebu	-	-
ebu_KE	left-to-right	KE	ケニア	エンブ語	ebu_KE	エンブ語 (ケニア)	エンブ語 (ケニア)	-	-	-	KEN	ebu	ebu	top-to-bottom	ebu_KE	-	-
ee	left-to-right	-	-	エウェ語	エウェ語	エウェ語	エウェ語	-	-	-	-	ewe	ee	top-to-bottom	ee	-	-
ee_GH	left-to-right	GH	ガーナ	エウェ語	ee_GH	エウェ語 (ガーナ)	エウェ語 (ガーナ)	-	-	-	GHA	ewe	ee	top-to-bottom	ee_GH	-	-
ee_TG	left-to-right	TG	トーゴ	エウェ語	ee_TG	エウェ語 (トーゴ)	エウェ語 (トーゴ)	-	-	-	TGO	ewe	ee	top-to-bottom	ee_TG	-	-
el	left-to-right	-	-	ギリシャ語	ギリシャ語	ギリシャ語	ギリシャ語	-	-	-	-	ell	el	top-to-bottom	el	-	-
el_CY	left-to-right	CY	キプロス	ギリシャ語	el_CY	ギリシャ語 (キプロス)	ギリシャ語 (キプロス)	-	-	-	CYP	ell	el	top-to-bottom	el_CY	-	-
el_GR	left-to-right	GR	ギリシャ	ギリシャ語	el_GR	ギリシャ語 (ギリシャ)	ギリシャ語 (ギリシャ)	-	-	-	GRC	ell	el	top-to-bottom	el_GR	-	-
en	left-to-right	-	-	英語	英語	英語	英語	-	-	-	-	eng	en	top-to-bottom	en	-	-
en_001	left-to-right	001	世界	英語	en_001	英語 (世界)	英語 (世界)	-	-	-	-	eng	en	top-to-bottom	en_001	-	-
en_150	left-to-right	150	ヨーロッパ	英語	en_150	英語 (ヨーロッパ)	英語 (ヨーロッパ)	-	-	-	-	eng	en	top-to-bottom	en_150	-	-
en_AE	left-to-right	AE	アラブ首長国連邦	英語	en_AE	英語 (アラブ首長国連邦)	英語 (アラブ首長国連邦)	-	-	-	ARE	eng	en	top-to-bottom	en_AE	-	-
